affinity,SiO2,TiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O
th,48.8509504668312,1.01,14.88,11.28,12.47,8.11,1.71898927533696,0.113196846219742
th,48.18,1.41,15.23,10.52,11.97,8.14,1.89,0.16
th,48.04,1.75,15.32,12.21,11.79,8.15,2.2,0.17
th,47.99,1.56,16.67,11.45,11.68,8.18,2.21,0.13
th,48.04,1.49,14.97,10.84,12.97,8.22,2.15,0.19
th,49.66,1.59,14.98,11.55,11.24,8.22,2.35,0.18
th,49.87,1.56,14.58,11.45,12.79,8.22,2.05,0.3
th,47.98,1.74,15.39,12.14,11.76,8.25,2.2,0.18
th,49.4,1.55,14.64,11.37,12.96,8.27,2.06,0.26
th,48.4859200483264,0.99,14.86,11.06,12.56,8.30,1.72989011288343,0.102993457587857
th,49.23,0.92,13.92,9.65,14.61,8.32,1.81,0.054
th,49.34,0.96,14.71,9.09,14.16,8.37,1.92,0.046
th,48.34,1.66,15.44,12,11.85,8.39,2.2,0.2
th,48.56,1.53,14.69,11.425512,11.73,8.4,2.14,0.22
th,47.99,1.64,16.16,11.36,11.83,8.44,2.12,0.15
th,47.71,1.72,14.76,11.62,11.54,8.45,2.25,0.27
th,48.75,0.50,15.78,8.89,13.64,8.46,1.8,0.26
th,48.77,1.34,15.99,10.328598,13.47,8.46,2.2,0.11
th,48.83,0.70,16.14,9.34,13.93,8.46,1.95,0.07
th,49,1.00,14.90,9.46,14.30,8.46,2.1,0.06
th,47.27,1.61,15.72,11.085652,12.5,8.54,2.2,0.13
th,47.86,1.73,15.68,10.920482,11.75,8.69,2.27,0.22
th,47.86,1.73,15.68,10.920482,11.75,8.69,2.27,0.22
th,47.8297092780375,0.90,15.5580075738982,10.11,12.76,8.75,1.7375081014895,0.100451241127899
th,49.38,1.48,14.69,11.18,12.74,8.77,2.06,0.31
